,State,Technology,Count
110,TN,Drones,20
111,IA,Drones,20
112,CA,Gunshot Detection,19
113,MA,Drones,19
114,MO,Automated License Plate Readers,19
115,FL,Real-Time Crime Center,19
116,LA,Ring/Neighbors Partnership,19
117,WY,Body-worn Cameras,18
118,OR,Drones,18
119,ID,Body-worn Cameras,18
120,PA,Automated License Plate Readers,18
121,OR,Camera Registry,18
122,MO,Camera Registry,18
123,MD,Automated License Plate Readers,18
124,FL,Camera Registry,18
125,NJ,Drones,18
126,IA,Body-worn Cameras,17
127,MD,Camera Registry,17
128,TX,Face Recognition,17
129,ID,Drones,17
130,IN,Automated License Plate Readers,17
131,TN,Automated License Plate Readers,17
132,CT,Drones,16
133,CT,Automated License Plate Readers,16
134,OK,Drones,16
135,OH,Camera Registry,16
136,MA,Camera Registry,16
137,SC,Drones,16
138,NJ,Camera Registry,16
139,WA,Camera Registry,15
140,LA,Drones,15
141,AR,Drones,15
142,MA,Automated License Plate Readers,15
143,IN,Camera Registry,15
144,ID,Ring/Neighbors Partnership,14
145,WA,Automated License Plate Readers,14
146,FL,Gunshot Detection,14
147,CA,Cell-site Simulator,14
148,WV,Body-worn Cameras,14
149,NY,Real-Time Crime Center,14
150,AZ,Automated License Plate Readers,14
151,KY,Drones,14
152,NY,Camera Registry,13
153,OK,Ring/Neighbors Partnership,13
154,MI,Automated License Plate Readers,13
155,IL,Camera Registry,13
156,IA,Ring/Neighbors Partnership,13
157,ME,Ring/Neighbors Partnership,12
158,NJ,Gunshot Detection,12
159,AR,Ring/Neighbors Partnership,12
160,DE,Body-worn Cameras,12
161,NE,Ring/Neighbors Partnership,12
162,CA,Video Analytics,11
163,UT,Drones,11
164,NV,Automated License Plate Readers,11
165,MS,Ring/Neighbors Partnership,11
166,FL,Predictive Policing,11
167,MT,Body-worn Cameras,11
168,MA,Gunshot Detection,11
169,ND,Body-worn Cameras,11
170,MS,Drones,10
171,VA,Camera Registry,10
172,NE,Drones,10
173,LA,Automated License Plate Readers,10
174,IL,Gunshot Detection,9
175,VA,Automated License Plate Readers,9
176,NV,Drones,9
177,NM,Drones,9
178,NV,Ring/Neighbors Partnership,9
179,ND,Drones,9
180,WI,Automated License Plate Readers,9
181,RI,Ring/Neighbors Partnership,9
182,MS,Automated License Plate Readers,9
183,PR,Body-worn Cameras,9
184,KY,Automated License Plate Readers,8
185,NY,Gunshot Detection,8
186,NC,Gunshot Detection,8
187,MD,Face Recognition,8
188,MN,Camera Registry,8
189,AL,Camera Registry,8
190,PA,Camera Registry,8
191,MD,Cell-site Simulator,8
192,TX,Real-Time Crime Center,8
193,DE,Ring/Neighbors Partnership,7
194,MD,Drones,7
195,NH,Drones,7
196,TX,Fusion Center,7
197,CA,Real-Time Crime Center,7
198,NJ,Predictive Policing,7
199,FL,Video Analytics,7
200,AL,Gunshot Detection,6
201,DE,Drones,6
202,AZ,Camera Registry,6
203,MO,Gunshot Detection,6
204,LA,Real-Time Crime Center,6
205,CA,Fusion Center,6
206,UT,Camera Registry,5
207,NM,Ring/Neighbors Partnership,5
208,AZ,Cell-site Simulator,5
209,NM,Camera Registry,5
210,ID,Automated License Plate Readers,5
211,AL,Real-Time Crime Center,5
212,GA,Face Recognition,5
213,OH,Real-Time Crime Center,5
214,OH,Gunshot Detection,5
215,NE,Automated License Plate Readers,5
216,WI,Camera Registry,5
217,HI,Face Recognition,5
218,SC,Camera Registry,5
219,GA,Predictive Policing,5
220,TX,Predictive Policing,5
221,GA,Gunshot Detection,5
222,NY,Face Recognition,5
223,NC,Camera Registry,5
224,FL,Cell-site Simulator,5
225,WV,Ring/Neighbors Partnership,5
226,ND,Ring/Neighbors Partnership,5
227,MN,Face Recognition,5
228,MS,Real-Time Crime Center,4
229,AZ,Predictive Policing,4
230,MT,Drones,4
231,NC,Face Recognition,4
232,AL,Predictive Policing,4
233,IN,Face Recognition,4
234,NY,Cell-site Simulator,4
235,UT,Automated License Plate Readers,4
236,OR,Automated License Plate Readers,4
237,PA,Face Recognition,4
238,IL,Face Recognition,4
239,IA,Camera Registry,4
240,IA,Automated License Plate Readers,4
241,RI,Camera Registry,4
242,CO,Camera Registry,4
243,TX,Cell-site Simulator,4
244,MD,Predictive Policing,4
245,ME,Drones,4
246,AK,Body-worn Cameras,4
247,CT,Gunshot Detection,4
248,MI,Camera Registry,4
249,MI,Video Analytics,4
250,KS,Automated License Plate Readers,4
251,NV,Camera Registry,3
252,PA,Real-Time Crime Center,3
253,VA,Face Recognition,3
254,VA,Cell-site Simulator,3
255,NJ,Face Recognition,3
256,OK,Camera Registry,3
257,ND,Camera Registry,3
258,PA,Fusion Center,3
259,WV,Drones,3
260,NC,Real-Time Crime Center,3
261,PA,Gunshot Detection,3
262,RI,Automated License Plate Readers,3
263,OH,Fusion Center,3
264,VT,Body-worn Cameras,3
265,NM,Gunshot Detection,3
266,SD,Drones,3
267,NH,Automated License Plate Readers,3
268,TN,Camera Registry,3
269,TN,Gunshot Detection,3
270,NV,Face Recognition,3
271,WA,Face Recognition,3
272,NJ,Real-Time Crime Center,3
